Miro	715
Victor	715
Simeon	712
Samu	710
Helge	708
Christopher	707
Noel	705
Osvald	704
Torsten	702
Bertel	694
Konstantin	693
Wiljami	692
Lucas	688
Mats	677
Tommi	677
Adam	675
Benjam	669
Walter	668
Isak	666
Tomas	664
Aku	663
Teodor	663
Riku	660
Roope	657
Nuutti	653
Otava	653
Per	644
Ferdinand	643
Olav	633
Anselm	632
Manuel	630
Kim	629
Konsta	627
Taavi	627
André	626
Mauritz	622
Miikael	618
Veli-Matti	609
Jarno	607
Tuukka	605
Tomi	603
Iiro	602
Jonas	602
Maximilian	598
Alfons	595
Immanuel	591
Artur	590
Ivar	590
Klaus	590
Valtter	589
Arimo	586
Elliot	585
Erland	585
Adrian	584
Benjami	582
Börje	582
Ole	582
Matinpoika	577
Nicolas	574
Anthony	560
Ylermi	560
Juhanpoika	557
Perttu	556
Jimi	549
Kaspian	549
Evald	547
Nooa	541
Teppo	541
Jakob	536
Aksel	533
Elia	531
Jarl	528
Lenni	526
Valo	524
Bengt	519
Elmer	518
Aatto	515
Stig	513
Sylvester	510
Nicholas	508
Justus	507
Jeremia	506
Herbert	504
Runar	504
Tatu	503
Micael	502
Rolf	498
Vincent	497
Mikonpoika	496
Lukas	494
Hassan	488
Nestor	486
Uuno	482
Saku	481
Björn	480
Kurt	477
Esaias	474
Bo	473
Reinhold	473
Iikka	472
Kosti	471
Sameli	470
Ove	467
Petrus	467
Miko	466
Luka	463
Terho	463
Werner	462
Eemi	461
Veli-Pekka	461
Simon	459
Eugen	456
Fabian	450
Leon	450
Marius	448
Robin	446
Dan	444
Ingemar	444
Salomo	442
Abdi	441
Mainio	439
Ben	437
Arnold	436
Bertil	434
Roland	432
Urpo	431
Heino	429
Dimitri	428
Helmeri	428
Jesperi	428
Aatami	425
Tom	425
Casper	423
Elmo	421
Sampo	420
Casimir	419
Jyri	414
Raineri	413
Bror	410
Filip	408
Aadolf	404
Tenho	403
Villiam	403
Taito	402
Timonpoika	402
Zacharias	402
Jooa	400
Gösta	399
Theodor	399
Ilmo	396
Tuure	395
Alf	391
Hilding	391
Manu	390
Augusti	389
Jan-Erik	388
Hemming	385
Julian	385
Hemminki	383
Jukanpoika	382
Torvald	381
Auvo	380
Wiljam	376
Jörgen	374
Kaapo	371
Heikinpoika	363
Joachim	363
Jonne	359
Ernst	358
Luca	357
Ludvig	357
Pekanpoika	357
Aleksei	355
Charles	354
Jarinpoika	354
Romeo	354
Sigurd	352
Usko	352
Jalmar	350
Ibrahim	346
Reima	345
Tor	341
Miska	339
Yngve	338
Touko	336
Valto	336
Mohammed	333
Torbjörn	332
Ruben	327
Abraham	325
Joseph	325
Paulus	323
Nikodemus	321
Santtu	320
Altti	319
Omar	317
Bjarne	315
Bruno	313
Aron	312
Ralf	310
Aamos	308
Into	307
Jami	307
Nico	303
Rune	300
Torolf	300
Andrew	297
Philip	296
Ernesti	295
Akusti	291
George	291
Maurits	291
Hannunpoika	290
Vertti	290
Abdullahi	289
Urmas	289
Karinpoika	288
Valio	288
Sigfrid	287
Ulf	286
Joosua	284
Maximus	284
Hussein	282
Amos	280
Milo	280
Josef	273
Leopold	273
Konrad	269
Ingvar	268
Junior	268
Ingvald	267
Boris	266
Jean	266
Jacob	264
Tommy	264
Roni	263
Adiel	259
Jussinpoika	258
Kristofer	258
Teijo	256
Amadeus	255
Edwin	255
Niclas	255
Andrei	254
Kusti	254
Torsti	254
Tony	252
Werneri	249
Matts	248
Mikanpoika	242
Isto	241
Karl-Johan	240
Rami	240
Iivo	239
Karri	236
Markunpoika	235
Tino	235
Gerhard	232
Linus	232
Mio	230
Jannenpoika	229
Lari	229
Tiitus	229
Alexis	227
Elo	223
Emmanuel	223
Erno	223
Lee	223
Karl-Erik	221
Matteus	220
Okko	220
Folke	219
Noah	219
Raine	219
Sammeli	218
Eskil	217
Jens	217
Hemmo	215
Arttur	214
Sigvard	213
Elof	212
Kjell	212
Oula	212
Villehard	212
Arinpoika	211
Frank	211
Raafael	211
Raymond	210
Ernest	208
Singh	208
Jaakonpoika	206
Mohamud	202
Mico	201
Uno	201
Sixten	200
Leonardo	199
Roy	199
Rurik	197
Jaakoppi	195
Mahamed	194
Rickard	193
Atso	192
Fjalar	192
Rickhard	192
Visa	192
Aappo	191
Johnny	190
Marco	190
Selim	190
Ahmad	189
Feliks	189
Kauno	189
Valde	189
Ilo	187
Maunu	186
Mårten	186
Noa	185
Petrinpoika	184
Emilio	183
Gottfrid	182
Aaretti	181
Elvis	181
Harrinpoika	180
Ola	179
Kaino	177
Pekko	177
Villenpoika	177
Aate	176
Abdirahman	176
Osman	176
Peetu	176
Dennis	175
Liam	175
Knut	174
Orvo	173
Tage	173
Edgar	172
Ollinpoika	172
Juha-Pekka	171
Jon	170
Kevin	170
Louis	170
Antto	169
Mario	169
Venni	167
Mohammad	166
Sten	166
Markonpoika	164
René	164
Ariel	163
Henning	163
Vidar	163
Ilja	162
Matthew	162
Panu	162
Dominic	161
